index,pmid,sid,text,len,interventions,interventions/Surgical,interventions/Surgical Fragment,interventions/Surgical_fragment_index,interventions/Physical,interventions/Physical Fragment,interventions/Physical_fragment_index,participants,participants/Condition,participants/Condition Fragment,participants/Condition_fragment_index,outcomes,outcomes/Physical,outcomes/Physical Fragment,outcomes/Physical_fragment_index,outcomes/Pain,outcomes/Pain Fragment,outcomes/Pain_fragment_index,outcomes/Adverse-effects,outcomes/Adverse-effects Fragment,outcomes/Adverse-effects_fragment_index,outcomes/Mental,outcomes/Mental Fragment,outcomes/Mental_fragment_index,outcomes/Other,outcomes/Other Fragment,outcomes/Other_fragment_index,participants/Age,participants/Age Fragment,participants/Age_fragment_index,interventions/Educational,interventions/Educational Fragment,interventions/Educational_fragment_index,interventions/Other,interventions/Other Fragment,interventions/Other_fragment_index,participants/Sample-size,participants/Sample-size Fragment,participants/Sample-size_fragment_index,interventions/Pharmacological,interventions/Pharmacological Fragment,interventions/Pharmacological_fragment_index,participants/Sex,participants/Sex Fragment,participants/Sex_fragment_index,interventions/Control,interventions/Control Fragment,interventions/Control_fragment_index,outcomes/Mortality,outcomes/Mortality Fragment,outcomes/Mortality_fragment_index,interventions/Psychological,interventions/Psychological Fragment,interventions/Psychological_fragment_index,Negative
2978,20043831,8,"The primary outcomes of this study are change in physical activity measured in MET minutes per week , work productivity and sickness absence , and healthcare utilisation .",28,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,"change in physical activity measured in MET minutes per week , work productivity and sickness absence , and healthcare utilisation .",[39],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3093,18556898,3,"The children were separated into two groups , each comprising 15 children between 7 and 11 years of age with autism , according to DSM-IV criteria .",27,0.0,0.0,,,0.0,,,1.0,1.0,autism,[109],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,children between 7 and 11 years,[65],0.0,,,0.0,,,1.0,15,[62],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3509,21321333,6,RESULTS We investigated 26 patients with mild to moderate PD : 13 received iTBS and 13 sham stimulation .,19,1.0,0.0,,,1.0,iTBS; sham stimulation,"[75, 87]",1.0,1.0,PD,[58],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,26,[24],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3543,20548043,12,CONCLUSIONS Our findings suggest that cognitive-behavioral therapy is more effective than standard medical care alone in reducing seizure frequency in PNES patients .,23,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,cognitive-behavioral therapy,[38],0.0
3569,555487,1,"To test the reliability and durability of positive treatment effects obtained in a type A intervention project for healthy managers , the analysis was extended to data available from a third treatment group ( a special behavior therapy group for participants eliminated from the main sample because of manifestations of clinical CHD ) and to measures obtained 6 months following the end of treatment .",65,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,reliability; durability of positive treatment effects,"[12, 28]",0.0,,,1.0,type A intervention project; a special behavior therapy group,"[83, 209]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3700,17312647,3,A detailed history was taken and proctoscopic examination was performed .,11,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
3741,25616941,1,BACKGROUND Ischemic preconditioning ( IPC ) and anesthetic preconditioning ( APC ) have been reported to attenuate ischemia-reperfusion ( IR ) injury after liver resection under continuous inflow occlusion .,30,1.0,1.0,Ischemic preconditioning ( IPC ); anesthetic preconditioning ( APC ),"[11, 48]",0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3877,12057986,4,"At the time of enrollment , patients were stratified according to diabetes status .",14,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
4229,4623522,2,It has been shown that phenytoin has no effect on the absorption of this folate polyglutamate .,17,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,folate polyglutamate,[73],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,phenytoin,[23],0.0,,,0.0,,,0.0,,,0.0,,,0.0
4339,12568856,5,INTERVENTION ( S ) Outpatient hysteroscopy was performed with CO ( 2 ) ( group A ) or normal saline ( group B ) and with endometrial biopsy when indicated .,31,1.0,1.0,endometrial biopsy,[121],0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,CO ( 2 ) ( group A ); normal saline ( group B ),"[62, 86]",0.0,,,0.0,,,0.0,,,0.0,,,0.0
4399,22185349,1,"BACKGROUND Calm , compassionate clinicians comfort others .",8,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
4737,7528271,10,The cytotoxic dose-intensity of standard every-4-weeks ICE is 100 % .,11,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,cytotoxic dose-intensity,[4],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
5401,6871470,6,"Thus , the use of random SD platelet transfusions postponed alloimmunization .",12,1.0,0.0,,,1.0,random SD platelet transfusions,[18],0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
5579,15824212,0,Simvastatin blunts endotoxin-induced tissue factor in vivo .,8,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,Simvastatin,[0],0.0,,,0.0,,,0.0,,,0.0,,,0.0
5616,21434781,13,We expect long-term implant survival to be better with the TM tibial component .,14,1.0,0.0,,,1.0,TM,[59],0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,long-term implant survival,[10],0.0,,,0.0
5767,6206796,4,These results suggest that intrapleural instillation using a combination of anti-cancer agent and immunopotentiator is an effective treatment for malignant pleurisy .,22,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,anti-cancer agent and immunopotentiator,[76],0.0,,,0.0,,,0.0,,,0.0,,,0.0
5851,17046466,8,"FINDINGS After a median follow up of 6 years , there was no difference in event-free or overall survival between the two treatment groups .",25,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,event-free or overall survival,[74],0.0,,,0.0
5858,11205419,1,"RATIONALE ( +/- ) 3,4-Methylenedioxymethamphetamine ( MDMA or "" ecstasy "" ) has been shown to cause long term damage to serotonergic cerebral neurons in animals .",27,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,"3,4-Methylenedioxymethamphetamine ( MDMA or "" ecstasy "" )",[18],0.0,,,0.0,,,0.0,,,0.0,,,0.0
6077,9735531,1,A double-blind crossover design was used to assess the efficacy of wearing ambient lenses to reduce the behavioral symptoms of autism .,22,1.0,0.0,,,1.0,wearing ambient lenses,[67],0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
6085,20796074,3,"The ewes were randomly allocated into four groups , viz. , GI ( n=7 ; control ) , GII ( n=7 ; thermal stress ) , GIII ( n=7 ; restricted feeding ) and GIV ( n=7 ; combined stress ) .",42,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,thermal stress ); restricted feeding ); combined stress ),"[94, 126, 163]",0.0,,,0.0,,,0.0,,,1.0,control ),[70],0.0,,,0.0,,,0.0
6219,22987106,10,There was only one death in JET group ( 1.8 % ) with no significant difference compared with the control group .,22,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,death,[19],0.0,,,0.0
6272,17657694,6,Group 1 received conventional working aids ( paper-based documents ) to support the task processing .,16,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,conventional working aids ( paper-based documents ) to support the task processing,[17],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7169,20932687,4,METHODS AND MATERIALS Patients ( N = 207 ) with nonresectable rectal cancer were randomized to preoperative CRT or RT ( 2 Gy × 25 ± 5-fluorouracil/leucovorin ) .,29,1.0,1.0,preoperative CRT; RT,"[95, 115]",0.0,,,1.0,1.0,nonresectable rectal cancer,[48],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,207,[37],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7441,15025886,7,"Patients completed self-rating scales on pain , global health , mood , quality of life , coping style , health locus of control , multidimensional well-being , spirituality , sense of coherence , positive states of mind , and social desirability .",42,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,global health,[48],1.0,self-rating scales on pain,[19],0.0,,,1.0,mood; coping style; health locus of control; multidimensional well-being; spirituality; sense of coherence; positive states of mind; social desirability,"[64, 89, 104, 130, 160, 175, 196, 226]",1.0,quality of life,[71],0.0,,,1.0,self-rating scales,[19],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7607,17093162,3,"Consequently , folate nutritional status may influence arsenic methylation and toxicity .",12,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,arsenic methylation,[55],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7778,2831788,4,No adverse effects on other routine laboratory values were observed .,11,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,1.0,adverse effects,[3],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7962,15573541,4,The 48 participants performed a visually demanding air traffic control ( ATC ) task .,15,1.0,0.0,,,0.0,,,1.0,1.0,visually demanding air traffic control ( ATC ) task,[32],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,.,[84],1.0,visually demanding air traffic control ( ATC ) task,[32],1.0,48,[4],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
8228,24352377,14,CONCLUSIONS AND RELEVANCE These findings provide the first neurobiological evidence for oxytocin 's beneficial effects on sociocommunicational deficits of ASD and give us the initial account for neurobiological mechanisms underlying any beneficial effects of the neuropeptide .,37,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
8833,9400786,10,"The mortality rate in the MSL-109-treated group was 0.68/person-year , and in the placebo-treated group , 0.31/person-year ( P=.01 ) .",21,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,MSL-109-treated,[26],0.0,,,1.0,placebo-treated,[82],1.0,mortality rate,[4],0.0,,,0.0
9063,21038654,5,"After treatment , the Chinese medicine syndrome scores , urinary protein and urinary red-cell count reduced significantly in the treatment group ( P < 0.05 or P < 0.01 ) and showed significant difference as compared with those in the control group ( P < 0.05 or P < 0.01 ) ; while the endogenous creatinine clearance was changed insignificantly in both groups .",64,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,Chinese medicine syndrome scores; urinary protein; urinary red-cell count; endogenous creatinine clearance,"[22, 57, 77, 285]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
9077,7616334,3,"PATIENTS Injection drug users ( IDUs ) seeking substance abuse treatment between the ages of 18 and 50 years who were addicted to opioids ( e.g. , heroin ) and not currently in drug treatment .",36,0.0,0.0,,,0.0,,,1.0,1.0,substance abuse,[47],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,18 and 50 years,[93],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
9215,8047747,4,"Specifically , such response variables provide some additional information on true endpoint occurrence times for study subjects having censored values for such times .",24,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
9377,12576957,5,PATIENTS A total of 67 patients were enrolled who met defined criteria for acute lung injury/acute respiratory distress syndrome .,20,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
9542,11374137,10,"According to these results , VATS should be the treatment of choice in SP patients .",16,1.0,1.0,VATS,[29],0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
9854,10097996,4,"Taken together , the findings of Study 1 suggest that the TOM test is a valid measure .",18,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,TOM test,[58],0.0,,,0.0,,,1.0,TOM test,[58],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
9886,7037697,1,Anderson Hospital randomized trial of neutron and photon irradiation for locally advanced carcinoma of the uterine cervix .,18,1.0,0.0,,,1.0,neutron and photon irradiation,[38],1.0,1.0,advanced carcinoma; uterine cervix .,"[81, 107]",1.0,1.0,locally advanced carcinoma of the uterine cervix,[73],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
10325,23528101,0,"Randomized , controlled , parallel-group trial of routine prophylaxis vs. on-demand treatment with sucrose-formulated recombinant factor VIII in adults with severe hemophilia A ( SPINART ) .",27,1.0,0.0,,,0.0,,,1.0,1.0,severe hemophilia A ( SPINART ),[157],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,adults,[145],0.0,,,0.0,,,0.0,,,1.0,routine prophylaxis; on-demand treatment with sucrose-formulated recombinant factor VIII,"[50, 74]",0.0,,,0.0,,,0.0,,,0.0,,,0.0
10651,12426230,3,"Hydrocortisone infusion induced an increase of mean arterial pressure , systemic vascular resistance , and a decline of heart rate , cardiac index , and norepinephrine requirement .",28,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,"mean arterial pressure , systemic vascular resistance; heart rate; cardiac index","[47, 120, 133]",0.0,,,0.0,,,0.0,,,1.0,norepinephrine requirement,[153],0.0,,,0.0,,,0.0,,,0.0,,,1.0,Hydrocortisone,[0],0.0,,,0.0,,,0.0,,,0.0,,,0.0
10891,24074927,1,PURPOSE To evaluate the toxicity and clinical outcome in patients with locally advanced cervical cancer ( LACC ) treated with whole pelvic conventional radiation therapy ( WP-CRT ) versus intensity modulated radiation therapy ( WP-IMRT ) .,37,1.0,0.0,,,0.0,,,1.0,1.0,patients with locally advanced cervical cancer ( LACC ),[57],1.0,1.0,toxicity; clinical outcome,"[24, 37]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,whole pelvic conventional radiation therapy; intensity modulated radiation therapy,"[126, 188]",0.0,,,0.0,,,0.0,,,0.0,,,0.0
10894,24074927,4,"The primary and secondary endpoints were acute gastrointestinal toxicity and disease-free survival , respectively .",15,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,1.0,acute gastrointestinal toxicity,[41],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,disease-free survival,[77],0.0,,,0.0
10957,17845737,3,"Failure to employ adequate placebos , proper blinding , objective measures , or screening of prior beliefs about aromatherapy means that many previous findings could have been influenced by expectancy biases .",32,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,placebos,[27],0.0,,,0.0,,,0.0
11106,15930233,8,RESULTS Infants in the liberal-transfusion group received more RBC transfusions ( 5.2 +/- 4.5 [ mean +/- SD ] vs 3.3 +/- 2.9 in the restrictive-transfusion group ) .,29,1.0,0.0,,,1.0,RBC transfusions,[63],0.0,0.0,,,1.0,1.0,RBC transfusions,[63],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
11826,9497116,6,"A comparison of 21 patients with a DSV and the patients with DP valves , evaluated by measuring the reduction of the Evans Index , revealed a distinctly higher percentage of significant regressions in the DP valve collective , without doubt due to chronic overdrainage .",46,1.0,0.0,,,1.0,DSV; DP valves; DP valve,"[35, 61, 205]",0.0,0.0,,,1.0,1.0,Evans Index,[117],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
11912,17983307,3,"However , in the made-in-Japan scenario condition , European Americans were less accurate than were Asian Americans .",18,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,made-in-Japan scenario,[17],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
12513,16555138,3,Data on autistic symptoms and urinary peptide levels were collected in the subjects ' homes over the 12 weeks that they were on the diet .,26,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,autistic symptoms; urinary peptide levels,"[8, 30]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
12612,12614412,3,"METHODS From September 1996 to October 1998 , we randomly allocated 49 legs to compression sclerotherapy and 49 legs to ambulatory phlebectomy .",23,1.0,1.0,ambulatory phlebectomy,[120],1.0,compression sclerotherapy,[79],1.0,1.0,"September 1996 to October 1998 , we randomly allocated 49 legs to compression sclerotherapy and 49 legs to ambulatory phlebectomy .",[13],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
12658,19915222,2,"METHODS In this double-blind , placebo-controlled study , we randomly assigned 5362 patients who had not been treated with clopidogrel to receive either cangrelor or placebo at the time of PCI , followed by 600 mg of clopidogrel .",39,1.0,0.0,,,0.0,,,1.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,5362,[79],1.0,cangrelor; clopidogrel,"[153, 217]",0.0,,,1.0,placebo,[166],0.0,,,0.0,,,0.0
12894,11545671,5,Usual care patients ( n = 58 ) were treated by their primary care physician .,16,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
13670,25319807,0,Benefit of adjuvant interferon alfa-2b ( IFN-α ) therapy in melanoma patients with high serum MMP-8 levels .,18,0.0,0.0,,,0.0,,,1.0,1.0,in melanoma patients with high serum MMP-8 levels,[57],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
13782,11013775,0,[ Effectiveness of morphine by periarticular injections after shoulder arthroscopy ] .,12,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,morphine,[19],0.0,,,0.0,,,0.0,,,0.0,,,0.0
